Länskod;Länsnamn;Kommunkod ;Kommunnamn;Beteckning på tätort;x-koordinat;y-koordinat;x;y;;;;;;
01;Stockholm;0127;Botkyrka;Sibble;657 478;6 555 695;657478;6555695;;;;;;
01;Stockholm;0127;Botkyrka;Kagghamra tomtområde;659 356;6 556 501;659356;6556501;;;;;;
01;Stockholm;0127;Botkyrka;Tumba;654 899;6 564 588;654899;6564588;;;;;;
01;Stockholm;0136;Haninge;Dalarö;695 357;6 561 582;695357;6561582;;;;;;
01;Stockholm;0136;Haninge;Jordbro;678 787;6 560 225;678787;6560225;;;;;;
01;Stockholm;0136;Haninge;Muskö;679 772;6 544 346;679772;6544346;;;;;;
01;Stockholm;0136;Haninge;Norra Muskö;681 248;6 546 266;681248;6546266;;;;;;
01;Stockholm;0136;Haninge;Väländan;671 209;6 556 605;671209;6556605;;;;;;
01;Stockholm;0136;Haninge;Västerhaninge;675 421;6 556 834;675421;6556834;;;;;;
01;Stockholm;0136;Haninge;Gansta och Söderby;675 717;6 551 047;675717;6551047;;;;;;
01;Stockholm;0136;Haninge;Årsta Havsbad;681 947;6 554 172;681947;6554172;;;;;;
01;Stockholm;0139;Upplands-Bro;Bro;649 216;6 600 777;649216;6600777;;;;;;
01;Stockholm;0139;Upplands-Bro;Brunna;654 990;6 599 710;654990;6599710;;;;;;
01;Stockholm;0139;Upplands-Bro;Håbo-Tibble kyrkby;651 232;6 607 366;651232;6607366;;;;;;
01;Stockholm;0139;Upplands-Bro;Rättarboda;647 771;6 598 808;647771;6598808;;;;;;
01;Stockholm;0139;Upplands-Bro;Jursta;647 802;6 600 264;647802;6600264;;;;;;
01;Stockholm;0139;Upplands-Bro;Smidö;644 586;6 595 545;644586;6595545;;;;;;
01;Stockholm;0139;Upplands-Bro;Kungsängen;654 686;6 597 397;654686;6597397;;;;;;
01;Stockholm;0140;Nykvarn;Finkarby;631 771;6 567 117;631771;6567117;;;;;;
01;Stockholm;0140;Nykvarn;Nygårds hagar;629 495;6 566 425;629495;6566425;;;;;;
01;Stockholm;0140;Nykvarn;Stensättra tomtområde;637 481;6 568 451;637481;6568451;;;;;;
01;Stockholm;0140;Nykvarn;Turinge och Vidbynäs;639 116;6 564 807;639116;6564807;;;;;;
01;Stockholm;0140;Nykvarn;Rimsjöhöjden;639 987;6 559 561;639987;6559561;;;;;;
01;Stockholm;0140;Nykvarn;Nykvarn;639 576;6 561 731;639576;6561731;;;;;;
01;Stockholm;0160;Täby;Arninge;677 284;6 596 216;677284;6596216;;;;;;
01;Stockholm;0162;Danderyd;Tranholmen;675 478;6 585 996;675478;6585996;;;;;;
01;Stockholm;0163;Sollentuna;Upplands Väsby och Sollentuna;663 217;6 595 455;663217;6595455;;;;;;
01;Stockholm;0180;Stockholm;Stockholm;668 128;6 579 434;668128;6579434;;;;;;
01;Stockholm;0181;Södertälje;Ekeby;643 578;6 571 053;643578;6571053;;;;;;
01;Stockholm;0181;Södertälje;Hölö;645 339;6 545 340;645339;6545340;;;;;;
01;Stockholm;0181;Södertälje;Järna;646 743;6 552 556;646743;6552556;;;;;;
01;Stockholm;0181;Södertälje;Mölnbo;638 724;6 548 034;638724;6548034;;;;;;
01;Stockholm;0181;Södertälje;Pershagen;651 955;6 559 941;651955;6559941;;;;;;
01;Stockholm;0181;Södertälje;Aska, Tuna och Sandviken*;641 876;6 572 128;641876;6572128;;;;;;
01;Stockholm;0181;Södertälje;Nibble;650 417;6 550 360;650417;6550360;;;;;;
01;Stockholm;0181;Södertälje;Vattubrinken;647 252;6 570 204;647252;6570204;;;;;;
01;Stockholm;0181;Södertälje;Viksäter och Viksberg;649 312;6 569 947;649312;6569947;;;;;;
01;Stockholm;0181;Södertälje;Kallfors;645 822;6 555 213;645822;6555213;;;;;;
01;Stockholm;0181;Södertälje;Södertälje;650 245;6 564 634;650245;6564634;;;;;;
01;Stockholm;0182;Nacka;Fisksätra;685 369;6 577 065;685369;6577065;;;;;;
01;Stockholm;0182;Nacka;Hästhagen;679 601;6 577 438;679601;6577438;;;;;;
01;Stockholm;0182;Nacka;Kil;689 211;6 581 862;689211;6581862;;;;;;
01;Stockholm;0182;Nacka;Saltsjöbaden;687 551;6 575 601;687551;6575601;;;;;;
01;Stockholm;0182;Nacka;Älgö;690 730;6 574 361;690730;6574361;;;;;;
01;Stockholm;0186;Lidingö;Sticklinge udde;676 638;6 587 063;676638;6587063;;;;;;
01;Stockholm;0186;Lidingö;Storholmen;678 089;6 588 467;678089;6588467;;;;;;
01;Stockholm;0186;Lidingö;Lidingö;678 432;6 584 524;678432;6584524;;;;;;
01;Stockholm;0187;Vaxholm;Rindö;692 131;6 589 329;692131;6589329;;;;;;
01;Stockholm;0187;Vaxholm;Resarö;688 834;6 592 816;688834;6592816;;;;;;
01;Stockholm;0187;Vaxholm;Tynningö;692 460;6 587 034;692460;6587034;;;;;;
01;Stockholm;0187;Vaxholm;Skarpö;691 501;6 590 755;691501;6590755;;;;;;
01;Stockholm;0187;Vaxholm;Vaxholm;688 308;6 590 231;688308;6590231;;;;;;
01;Stockholm;0188;Norrtälje;Bergshamra;704 457;6 615 684;704457;6615684;;;;;;
01;Stockholm;0188;Norrtälje;Blidö;719 709;6 614 563;719709;6614563;;;;;;
01;Stockholm;0188;Norrtälje;Edsbro;695 383;6 644 471;695383;6644471;;;;;;
01;Stockholm;0188;Norrtälje;Finsta;696 416;6 627 190;696416;6627190;;;;;;
01;Stockholm;0188;Norrtälje;Grisslehamn;709 711;6 667 811;709711;6667811;;;;;;
01;Stockholm;0188;Norrtälje;Hallstavik;700 250;6 662 015;700250;6662015;;;;;;
01;Stockholm;0188;Norrtälje;Herräng;702 088;6 671 706;702088;6671706;;;;;;
01;Stockholm;0188;Norrtälje;Nabbo, Gräddö och Rävsnäs;724 401;6 631 033;724401;6631033;;;;;;
01;Stockholm;0188;Norrtälje;Riala;698 215;6 616 300;698215;6616300;;;;;;
01;Stockholm;0188;Norrtälje;Rimbo;688 294;6 627 876;688294;6627876;;;;;;
01;Stockholm;0188;Norrtälje;Rånäs;685 331;6 634 247;685331;6634247;;;;;;
01;Stockholm;0188;Norrtälje;Skebobruk;701 563;6 653 122;701563;6653122;;;;;;
01;Stockholm;0188;Norrtälje;Spillersboda;716 921;6 624 751;716921;6624751;;;;;;
01;Stockholm;0188;Norrtälje;Nysättra;718 308;6 636 896;718308;6636896;;;;;;
01;Stockholm;0188;Norrtälje;Svanberga;705 408;6 639 754;705408;6639754;;;;;;
01;Stockholm;0188;Norrtälje;Söderby-Karl;707 089;6 645 313;707089;6645313;;;;;;
01;Stockholm;0188;Norrtälje;Södersvik;720 780;6 629 875;720780;6629875;;;;;;
01;Stockholm;0188;Norrtälje;Sättra;693 705;6 613 941;693705;6613941;;;;;;
01;Stockholm;0188;Norrtälje;Älmsta;712 224;6 654 118;712224;6654118;;;;;;
01;Stockholm;0188;Norrtälje;Hästängen och Mora;706 779;6 616 996;706779;6616996;;;;;;
01;Stockholm;0188;Norrtälje;Oxhalsö;722 273;6 616 906;722273;6616906;;;;;;
01;Stockholm;0188;Norrtälje;Hattudden, Björnösund och Björknäs*;716 800;6 630 838;716800;6630838;;;;;;
01;Stockholm;0188;Norrtälje;Malstaby;703 930;6 632 029;703930;6632029;;;;;;
01;Stockholm;0188;Norrtälje;Husby*;698 398;6 628 514;698398;6628514;;;;;;
01;Stockholm;0188;Norrtälje;Grovstanäs, Hysingsvik och Solö;709 835;6 621 478;709835;6621478;;;;;;
01;Stockholm;0188;Norrtälje;Tranvik och Ekebyholmshöjden*;690 078;6 629 860;690078;6629860;;;;;;
01;Stockholm;0188;Norrtälje;Norrtälje;708 602;6 630 078;708602;6630078;;;;;;
01;Stockholm;0191;Sigtuna;Granby;648 081;6 616 125;648081;6616125;;;;;;
01;Stockholm;0191;Sigtuna;Rosersberg;662 650;6 607 483;662650;6607483;;;;;;
01;Stockholm;0191;Sigtuna;Sigtuna;653 506;6 612 047;653506;6612047;;;;;;
01;Stockholm;0191;Sigtuna;Ölsta och Steningehöjden;657 746;6 612 966;657746;6612966;;;;;;
01;Stockholm;0191;Sigtuna;Steninge;657 955;6 610 876;657955;6610876;;;;;;
01;Stockholm;0191;Sigtuna;Venngarn;653 371;6 615 363;653371;6615363;;;;;;
01;Stockholm;0191;Sigtuna;Märsta;659 979;6 612 873;659979;6612873;;;;;;
01;Stockholm;0192;Nynäshamn;Landfjärden;671 095;6 547 811;671095;6547811;;;;;;
01;Stockholm;0192;Nynäshamn;Lidatorp och Klövsta;667 271;6 538 946;667271;6538946;;;;;;
01;Stockholm;0192;Nynäshamn;Sorunda;661 924;6 545 165;661924;6545165;;;;;;
01;Stockholm;0192;Nynäshamn;Segersäng;668 325;6 546 707;668325;6546707;;;;;;
